"","Category_code","COG","Annotation","Category"
"1164","I","COG1884","Methylmalonyl-CoA mutase, N-terminal domain/subunit","Lipid transport and metabolism"
"1165","I","COG5092","N-myristoyl transferase ","Lipid transport and metabolism"
"1166","I","COG0584","Glycerophosphoryl diester phosphodiesterase","Lipid transport and metabolism"
"1167","I","COG0824","Acyl-CoA thioesterase FadM","Lipid transport and metabolism"
"1168","I","COG1502","Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase or related enzyme","Lipid transport and metabolism"
"1169","I","COG2031","Short chain fatty acids transporter","Lipid transport and metabolism"
"1170","I","COG1577","Mevalonate kinase","Lipid transport and metabolism"
"1171","I","COG0331","Malonyl CoA-acyl carrier protein transacylase","Lipid transport and metabolism"
"1172","I","COG3884","Acyl-ACP thioesterase","Lipid transport and metabolism"
"1173","I","COG1657","Squalene cyclase","Lipid transport and metabolism"
"1174","I","COG2030","Acyl dehydratase","Lipid transport and metabolism"
"1175","I","COG4670","Acyl CoA:acetate/3-ketoacid CoA transferase","Lipid transport and metabolism"
"1176","I","COG0344","Phospholipid biosynthesis protein PlsY, probable glycerol-3-phosphate acyltransferase","Lipid transport and metabolism"
"1177","I","COG1260","Myo-inositol-1-phosphate synthase","Lipid transport and metabolism"
"1178","I","COG4281","Acyl-CoA-binding protein","Lipid transport and metabolism"
"1179","I","COG4247","3-phytase (myo-inositol-hexaphosphate 3-phosphohydrolase)","Lipid transport and metabolism"
"1180","I","COG2057","Acyl CoA:acetate/3-ketoacid CoA transferase, beta subunit","Lipid transport and metabolism"
"1181","I","COG0416","Fatty acid/phospholipid biosynthesis enzyme","Lipid transport and metabolism"
"1182","I","COG0671","Membrane-associated phospholipid phosphatase","Lipid transport and metabolism"
"1183","I","COG1307","Fatty acid-binding protein DegV (function unknown)","Lipid transport and metabolism"
"1184","I","COG3963","Phospholipid N-methyltransferase","Lipid transport and metabolism"
"1185","I","COG4781","Membrane-anchored glycerophosphoryl diester phosphodiesterase (GDPDase), membrane domain","Lipid transport and metabolism"
"1186","I","COG0020","Undecaprenyl pyrophosphate synthase","Lipid transport and metabolism"
"1187","I","COG3890","Phosphomevalonate kinase","Lipid transport and metabolism"
"1188","I","COG1946","Acyl-CoA thioesterase","Lipid transport and metabolism"
"1189","I","COG1804","Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases","Lipid transport and metabolism"
"1190","I","COG3777","Hydroxyacyl-ACP dehydratase HTD2, hotdog domain","Lipid transport and metabolism"
"1191","I","COG3000","Sterol desaturase/sphingolipid hydroxylase, fatty acid hydroxylase superfamily","Lipid transport and metabolism"
"1192","I","COG0365","Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase","Lipid transport and metabolism"
"1193","I","COG3356","Predicted membrane-associated lipid hydrolase, neutral ceramidase superfamily","Lipid transport and metabolism"
"1194","I","COG2267","Lysophospholipase, alpha-beta hydrolase superfamily","Lipid transport and metabolism"
"1195","I","COG1924","Activator of 2-hydroxyglutaryl-CoA dehydratase (HSP70-class ATPase domain)","Lipid transport and metabolism"
"1196","I","COG5056","Acyl-CoA cholesterol acyltransferase ","Lipid transport and metabolism"
"1197","J","COG1552","Ribosomal protein L40E","Translation, ribosomal structure and biogenesis"
"1198","J","COG0423","Glycyl-tRNA synthetase (class II)","Translation, ribosomal structure and biogenesis"
"1199","J","COG2603","tRNA 2-selenouridine synthase SelU, contains rhodanese domain","Translation, ribosomal structure and biogenesis"
"1200","J","COG0024","Methionine aminopeptidase","Translation, ribosomal structure and biogenesis"
"1201","J","COG2890","Methylase of polypeptide chain release factors","Translation, ribosomal structure and biogenesis"
"1202","J","COG1341","Polynucleotide 5'-kinase, involved in rRNA processing","Translation, ribosomal structure and biogenesis"
"1203","J","COG0051","Ribosomal protein S10","Translation, ribosomal structure and biogenesis"
"1204","J","COG1163","Ribosome-interacting GTPase 1","Translation, ribosomal structure and biogenesis"
"1205","J","COG1632","Ribosomal protein L15E","Translation, ribosomal structure and biogenesis"
"1206","J","COG2004","Ribosomal protein S24E","Translation, ribosomal structure and biogenesis"
"1207","J","COG5271","Midasin, AAA ATPase with  vWA domain, involved in ribosome maturation","Translation, ribosomal structure and biogenesis"
"1208","J","COG2167","Ribosomal protein L39E","Translation, ribosomal structure and biogenesis"
"1209","J","COG1998","Ribosomal protein S27AE","Translation, ribosomal structure and biogenesis"
"1210","J","COG1890","Ribosomal protein S3AE","Translation, ribosomal structure and biogenesis"
"1211","J","COG0539","Ribosomal protein S1","Translation, ribosomal structure and biogenesis"
"1212","J","COG0009","tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC","Translation, ribosomal structure and biogenesis"
"1213","J","COG0049","Ribosomal protein S7","Translation, ribosomal structure and biogenesis"
"1214","J","COG5269","Ribosome-associated chaperone zuotin ","Translation, ribosomal structure and biogenesis"
"1215","J","COG0828","Ribosomal protein S21","Translation, ribosomal structure and biogenesis"
"1216","J","COG5270","PUA domain (predicted RNA-binding domain)","Translation, ribosomal structure and biogenesis"
"1217","J","COG0256","Ribosomal protein L18","Translation, ribosomal structure and biogenesis"
"1218","J","COG1184","Translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family","Translation, ribosomal structure and biogenesis"
"1219","J","COG0200","Ribosomal protein L15","Translation, ribosomal structure and biogenesis"
"1220","J","COG2042","Ribosome biogenesis protein Tsr3 (rRNA maturation)","Translation, ribosomal structure and biogenesis"
"1221","J","COG2092","Translation elongation factor EF-1beta","Translation, ribosomal structure and biogenesis"
"1222","J","COG5384","U3 small nucleolar ribonucleoprotein component","Translation, ribosomal structure and biogenesis"
"1223","J","COG1206","Folate-dependent tRNA-U54 methylase TrmFO/GidA","Translation, ribosomal structure and biogenesis"
"1224","J","COG0048","Ribosomal protein S12","Translation, ribosomal structure and biogenesis"
"1225","J","COG0293","23S rRNA U2552 (ribose-2'-O)-methylase RlmE/FtsJ","Translation, ribosomal structure and biogenesis"
"1226","J","COG1921","Seryl-tRNA(Sec) selenium transferase","Translation, ribosomal structure and biogenesis"
"1227","J","COG1798","Diphthamide biosynthesis methyltransferase","Translation, ribosomal structure and biogenesis"
"1228","J","COG0180","Tryptophanyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"1229","J","COG0050","Translation elongation factor EF-Tu, a GTPase","Translation, ribosomal structure and biogenesis"
"1230","J","COG1944","Ribosomal protein S12 methylthiotransferase accessory factor YcaO","Translation, ribosomal structure and biogenesis"
"1231","J","COG1534","RNA-binding protein YhbY","Translation, ribosomal structure and biogenesis"
"1232","J","COG0456","Ribosomal protein S18 acetylase RimI and related acetyltransferases","Translation, ribosomal structure and biogenesis"
"1233","J","COG1601","Translation initiation factor 2, beta subunit (eIF-2beta)/eIF-5 N-terminal domain","Translation, ribosomal structure and biogenesis"
"1234","J","COG1889","Fibrillarin-like rRNA methylase","Translation, ribosomal structure and biogenesis"
"1235","J","COG0172","Seryl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"1236","J","COG5051","Ribosomal protein L36E ","Translation, ribosomal structure and biogenesis"
"1237","J","COG0257","Ribosomal protein L36","Translation, ribosomal structure and biogenesis"
"1238","J","COG0037","tRNA(Ile)-lysidine synthase TilS/MesJ","Translation, ribosomal structure and biogenesis"
"1239","J","COG1600","Epoxyqueuosine reductase  QueG (queuosine biosynthesis)","Translation, ribosomal structure and biogenesis"
"1240","J","COG0564","Pseudouridylate synthase, 23S rRNA- or tRNA-specific","Translation, ribosomal structure and biogenesis"
"1241","J","COG2024","O-phosphoseryl-tRNA(Cys) synthetase","Translation, ribosomal structure and biogenesis"
"1242","J","COG1162","Putative ribosome biogenesis GTPase RsgA","Translation, ribosomal structure and biogenesis"
"1243","J","COG2867","Ribosome association toxin PasT (RatA) of the RatAB toxin-antitoxin module","Translation, ribosomal structure and biogenesis"
"1244","J","COG0091","Ribosomal protein L22","Translation, ribosomal structure and biogenesis"
"1245","J","COG4680","mRNA-degrading endonuclease (mRNA interferase) HigB, toxic component of the HigAB toxin-antitoxin module","Translation, ribosomal structure and biogenesis"
"1246","J","COG0013","Alanyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"1247","J","COG3642","tRNA A-37 threonylcarbamoyl transferase component Bud32","Translation, ribosomal structure and biogenesis"
"1248","J","COG5593","Nucleic-acid-binding protein possibly involved in ribosomal biogenesis ","Translation, ribosomal structure and biogenesis"
"1249","J","COG0094","Ribosomal protein L5","Translation, ribosomal structure and biogenesis"
"1250","J","COG2892","tRNA threonylcarbamoyladenosine modification (KEOPS) complex,  Pcc1 subunit","Translation, ribosomal structure and biogenesis"
"1251","J","COG0103","Ribosomal protein S9","Translation, ribosomal structure and biogenesis"
"1252","J","COG4694","Wobble nucleotide-excising tRNase","Translation, ribosomal structure and biogenesis"
"1253","J","COG1717","Ribosomal protein L32E","Translation, ribosomal structure and biogenesis"
"1254","J","COG0198","Ribosomal protein L24","Translation, ribosomal structure and biogenesis"
"1255","J","COG0617","tRNA nucleotidyltransferase/poly(A) polymerase","Translation, ribosomal structure and biogenesis"
"1256","J","COG1588","RNase P/RNase MRP subunit p29","Translation, ribosomal structure and biogenesis"
"1257","J","COG0101","tRNA U38,U39,U40 pseudouridine synthase TruA","Translation, ribosomal structure and biogenesis"
"1258","J","COG3277","rRNA processing protein Gar1","Translation, ribosomal structure and biogenesis"
"1259","J","COG1179","tRNA A37 threonylcarbamoyladenosine dehydratase","Translation, ribosomal structure and biogenesis"
"1260","J","COG2520","tRNA G37 N-methylase Trm5","Translation, ribosomal structure and biogenesis"
"1261","J","COG0089","Ribosomal protein L23","Translation, ribosomal structure and biogenesis"
"1262","J","COG0231","Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)","Translation, ribosomal structure and biogenesis"
"1263","J","COG0820","Adenine C2-methylase RlmN of 23S rRNA A2503 and tRNA A37","Translation, ribosomal structure and biogenesis"
"1264","J","COG0522","Ribosomal protein S4 or related protein","Translation, ribosomal structure and biogenesis"
"1265","J","COG0102","Ribosomal protein L13","Translation, ribosomal structure and biogenesis"
"1266","J","COG1658","5S rRNA maturation endonuclease (Ribonuclease M5), contains TOPRIM domain","Translation, ribosomal structure and biogenesis"
"1267","J","COG0130","tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA","Translation, ribosomal structure and biogenesis"
"1268","J","COG0222","Ribosomal protein L7/L12","Translation, ribosomal structure and biogenesis"
"1269","J","COG1190","Lysyl-tRNA synthetase (class II)","Translation, ribosomal structure and biogenesis"
"1270","J","COG0099","Ribosomal protein S13","Translation, ribosomal structure and biogenesis"
"1271","J","COG0093","Ribosomal protein L14","Translation, ribosomal structure and biogenesis"
"1272","J","COG0336","tRNA G37 N-methylase TrmD","Translation, ribosomal structure and biogenesis"
"1273","J","COG4088","tRNA Uridine 5-carbamoylmethylation protein Kti12 (Killer toxin insensitivity protein)","Translation, ribosomal structure and biogenesis"
"1274","J","COG0751","Glycyl-tRNA synthetase, beta subunit","Translation, ribosomal structure and biogenesis"
"1275","J","COG0042","tRNA-dihydrouridine synthase","Translation, ribosomal structure and biogenesis"
"1276","J","COG3101","Elongation factor P hydroxylase (EF-P beta-lysylation pathway)","Translation, ribosomal structure and biogenesis"
"1277","J","COG0216","Protein chain release factor A","Translation, ribosomal structure and biogenesis"
"1278","J","COG0154","Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase","Translation, ribosomal structure and biogenesis"
"1279","J","COG5099","RNA-binding protein of the Puf family, translational repressor ","Translation, ribosomal structure and biogenesis"
"1280","J","COG1188","Ribosomal 50S subunit-recycling heat shock protein, contains S4 domain","Translation, ribosomal structure and biogenesis"
"1281","J","COG0684","Regulator of RNase E activity RraA","Translation, ribosomal structure and biogenesis"
"1282","J","COG0197","Ribosomal protein L16/L10AE","Translation, ribosomal structure and biogenesis"
"1283","J","COG0565","tRNA C32,U32 (ribose-2'-O)-methylase TrmJ or a related methyltransferase","Translation, ribosomal structure and biogenesis"
"1284","J","COG0144","16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family","Translation, ribosomal structure and biogenesis"
"1285","J","COG0264","Translation elongation factor EF-Ts","Translation, ribosomal structure and biogenesis"
"1286","J","COG1094","rRNA processing protein Krr1/Pno1, contains KH domain","Translation, ribosomal structure and biogenesis"
"1287","J","COG0335","Ribosomal protein L19","Translation, ribosomal structure and biogenesis"
"1288","J","COG1756","rRNA pseudouridine-1189 N-methylase Emg1, Nep1/Mra1 family","Translation, ribosomal structure and biogenesis"
"1289","J","COG2264","Ribosomal protein L11 methylase PrmA","Translation, ribosomal structure and biogenesis"
"1290","J","COG2075","Ribosomal protein L24E","Translation, ribosomal structure and biogenesis"
"1291","J","COG0203","Ribosomal protein L17","Translation, ribosomal structure and biogenesis"
"1292","J","COG5154","RNA-binding protein required for 60S ribosomal subunit biogenesis ","Translation, ribosomal structure and biogenesis"
"1293","J","COG0809","S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase)","Translation, ribosomal structure and biogenesis"
"1294","J","COG0090","Ribosomal protein L2","Translation, ribosomal structure and biogenesis"
"1295","J","COG4919","Ribosomal protein S30","Translation, ribosomal structure and biogenesis"
"1296","J","COG0290","Translation initiation factor IF-3","Translation, ribosomal structure and biogenesis"
"1297","J","COG5256","Translation elongation factor EF-1alpha (GTPase)","Translation, ribosomal structure and biogenesis"
"1298","J","COG1383","Ribosomal protein S17E","Translation, ribosomal structure and biogenesis"
"1299","J","COG4445","tRNA isopentenyl-2-thiomethyl-A-37 hydroxylase MiaE (synthesis of 2-methylthio-cis-ribozeatin)","Translation, ribosomal structure and biogenesis"
"1300","J","COG0012","Ribosome-binding ATPase YchF, GTP1/OBG family","Translation, ribosomal structure and biogenesis"
"1301","J","COG0858","Ribosome-binding factor A","Translation, ribosomal structure and biogenesis"
"1302","J","COG1370","tRNA-guanine transglycosylase, archaeosine-15-forming","Translation, ribosomal structure and biogenesis"
"1303","J","COG2163","Ribosomal protein L14E/L6E/L27E","Translation, ribosomal structure and biogenesis"
"1304","J","COG0255","Ribosomal protein L29","Translation, ribosomal structure and biogenesis"
"1305","J","COG5623","Predicted GTPase subunit of the pre-mRNA cleavage complex ","Translation, ribosomal structure and biogenesis"
"1306","J","COG1631","Ribosomal protein L44E","Translation, ribosomal structure and biogenesis"
"1307","J","COG0098","Ribosomal protein S5","Translation, ribosomal structure and biogenesis"
"1308","J","COG1643","HrpA-like RNA helicase","Translation, ribosomal structure and biogenesis"
"1309","J","COG0100","Ribosomal protein S11","Translation, ribosomal structure and biogenesis"
"1310","J","COG0143","Methionyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"1311","J","COG0594","RNase P protein component","Translation, ribosomal structure and biogenesis"
"1312","J","COG0064","Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit","Translation, ribosomal structure and biogenesis"
"1313","J","COG2419","Trm5-related predicted tRNA methylase","Translation, ribosomal structure and biogenesis"
"1314","J","COG1676","tRNA splicing endonuclease","Translation, ribosomal structure and biogenesis"
"1315","J","COG5459","Ribosomal protein RSM22 (predicted mitochondrial rRNA methylase)","Translation, ribosomal structure and biogenesis"
"1316","J","COG1236","RNA processing exonuclease, beta-lactamase fold, Cft2 family","Translation, ribosomal structure and biogenesis"
"1317","J","COG3076","Regulator of RNase E activity RraB","Translation, ribosomal structure and biogenesis"
"1318","J","COG3078","Ribosome assembly protein YihI, activator of Der GTPase","Translation, ribosomal structure and biogenesis"
"1319","J","COG3270","Ribosome biogenesis protein, NOL1/NOP2/fmu family","Translation, ribosomal structure and biogenesis"
"1320","J","COG0030","16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)","Translation, ribosomal structure and biogenesis"
"1321","J","COG2023","RNase P subunit RPR2","Translation, ribosomal structure and biogenesis"
"1322","J","COG0072","Phenylalanyl-tRNA synthetase beta subunit","Translation, ribosomal structure and biogenesis"
"1323","J","COG1530","Ribonuclease G or E","Translation, ribosomal structure and biogenesis"
"1324","J","COG1576","23S rRNA pseudoU1915 N3-methylase RlmH","Translation, ribosomal structure and biogenesis"
"1325","J","COG1825","Ribosomal protein L25 (general stress protein Ctc)","Translation, ribosomal structure and biogenesis"
"1326","J","COG1990","Peptidyl-tRNA hydrolase","Translation, ribosomal structure and biogenesis"
"1327","J","COG0186","Ribosomal protein S17","Translation, ribosomal structure and biogenesis"
"1328","J","COG0080","Ribosomal protein L11","Translation, ribosomal structure and biogenesis"
"1329","J","COG1369","RNase P/RNase MRP subunit POP5","Translation, ribosomal structure and biogenesis"
"1330","J","COG0124","Histidyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"1331","J","COG3130","Ribosome modulation factor","Translation, ribosomal structure and biogenesis"
"1332","J","COG0073","tRNA-binding EMAP/Myf domain","Translation, ribosomal structure and biogenesis"
"1333","J","COG2238","Ribosomal protein S19E (S16A)","Translation, ribosomal structure and biogenesis"
"1334","J","COG0008","Glutamyl- or glutaminyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"1335","J","COG0333","Ribosomal protein L32","Translation, ribosomal structure and biogenesis"
"1336","J","COG1214","tRNA A37 threonylcarbamoyladenosine modification protein TsaB","Translation, ribosomal structure and biogenesis"
"1337","J","COG1544","Ribosome-associated translation inhibitor RaiA","Translation, ribosomal structure and biogenesis"
"1338","J","COG0291","Ribosomal protein L35","Translation, ribosomal structure and biogenesis"
"1339","J","COG5045","Ribosomal protein S10E ","Translation, ribosomal structure and biogenesis"
"1340","J","COG2519","tRNA A58 N-methylase Trm61","Translation, ribosomal structure and biogenesis"
"1341","J","COG0173","Aspartyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"1342","J","COG1093","Translation initiation factor 2, alpha subunit (eIF-2alpha)","Translation, ribosomal structure and biogenesis"
"1343","J","COG1092","23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI","Translation, ribosomal structure and biogenesis"
"1344","J","COG0254","Ribosomal protein L31","Translation, ribosomal structure and biogenesis"
"1345","J","COG5257","Translation initiation factor 2, gamma subunit (eIF-2gamma; GTPase)","Translation, ribosomal structure and biogenesis"
"1346","J","COG0220","tRNA G46 methylase TrmB","Translation, ribosomal structure and biogenesis"
"1347","J","COG0261","Ribosomal protein L21","Translation, ribosomal structure and biogenesis"
"1348","J","COG1186","Protein chain release factor B","Translation, ribosomal structure and biogenesis"
"1349","J","COG0060","Isoleucyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"1350","J","COG1189","Predicted rRNA methylase YqxC, contains S4 and FtsJ domains","Translation, ribosomal structure and biogenesis"
"1351","J","COG2850","Ribosomal protein L16 Arg81 hydroxylase, contains JmjC domain","Translation, ribosomal structure and biogenesis"
"1352","J","COG5225","Uncharacterized protein involved in ribosome biogenesis ","Translation, ribosomal structure and biogenesis"
"1353","J","COG2053","Ribosomal protein S28E/S33","Translation, ribosomal structure and biogenesis"
"1354","J","COG0023","Translation initiation factor 1 (eIF-1/SUI1)","Translation, ribosomal structure and biogenesis"
"1355","J","COG2016","Predicted ribosome-associated RNA-binding protein Tma20, contains PUA domain","Translation, ribosomal structure and biogenesis"
"1356","J","COG0267","Ribosomal protein L33","Translation, ribosomal structure and biogenesis"
"1357","J","COG4021","tRNA(His) 5'-end guanylyltransferase","Translation, ribosomal structure and biogenesis"
"1358","J","COG2262","50S ribosomal subunit-associated GTPase HflX","Translation, ribosomal structure and biogenesis"
"1359","J","COG4901","Ribosomal protein S25","Translation, ribosomal structure and biogenesis"
"1360","J","COG1571","tRNA(Ile2) C34 agmatinyltransferase TiaS","Translation, ribosomal structure and biogenesis"
"1361","J","COG1818","tRNA(Ser,Leu) C12 N-acetylase TAN1, contains THUMP domain","Translation, ribosomal structure and biogenesis"
"1362","J","COG1939","23S rRNA maturation mini-RNase III","Translation, ribosomal structure and biogenesis"
"1363","J","COG3041","mRNA-degrading endonuclease (mRNA interferase) YafQ, toxin component of the YafQ-DinJ toxin-antitoxin module","Translation, ribosomal structure and biogenesis"
"1364","J","COG1161","Ribosome biogenesis GTPase A","Translation, ribosomal structure and biogenesis"
"1365","J","COG0525","Valyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"1366","J","COG0441","Threonyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"1367","J","COG1374","Rbosome biogenesis protein Nip4, contains PUA domain","Translation, ribosomal structure and biogenesis"
"1368","J","COG0486","tRNA U34 5-carboxymethylaminomethyl modifying GTPase MnmE/TrmE","Translation, ribosomal structure and biogenesis"
"1369","J","COG0731","Wyosine [tRNA(Phe)-imidazoG37] synthetase, radical SAM superfamily","Translation, ribosomal structure and biogenesis"
"1370","J","COG5163","Protein required for biogenesis of the 60S ribosomal subunit ","Translation, ribosomal structure and biogenesis"
"1371","J","COG0445","tRNA U34 5-carboxymethylaminomethyl modifying enzyme MnmG/GidA","Translation, ribosomal structure and biogenesis"
"1372","J","COG1500","Ribosome maturation protein Sdo1","Translation, ribosomal structure and biogenesis"
"1373","J","COG0780","NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, C-terminal domain, T-fold superfamily","Translation, ribosomal structure and biogenesis"
"1374","J","COG1498","RNA processing factor Prp31, contains Nop domain","Translation, ribosomal structure and biogenesis"
"1375","J","COG2117","Predicted subunit of tRNA(5-methylaminomethyl-2-thiouridylate) methyltransferase, contains the PP-loop ATPase domain","Translation, ribosomal structure and biogenesis"
"1376","J","COG0495","Leucyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"1377","J","COG1041","tRNA G10  N-methylase Trm11","Translation, ribosomal structure and biogenesis"
"1378","J","COG0087","Ribosomal protein L3","Translation, ribosomal structure and biogenesis"
"1379","J","COG0088","Ribosomal protein L4","Translation, ribosomal structure and biogenesis"
"1380","J","COG0092","Ribosomal protein S3","Translation, ribosomal structure and biogenesis"
"1381","J","COG1384","Lysyl-tRNA synthetase, class I","Translation, ribosomal structure and biogenesis"
"1382","J","COG2001","MraZ, DNA-binding transcriptional regulator and inhibitor of RsmH methyltransferase activity","Translation, ribosomal structure and biogenesis"
"1383","J","COG1385","16S rRNA U1498 N3-methylase RsmE","Translation, ribosomal structure and biogenesis"
"1384","J","COG0595","mRNA degradation ribonuclease J1/J2","Translation, ribosomal structure and biogenesis"
"1385","J","COG1976","Translation initiation factor 6 (eIF-6)","Translation, ribosomal structure and biogenesis"
"1386","J","COG0016","Phenylalanyl-tRNA synthetase alpha subunit","Translation, ribosomal structure and biogenesis"
"1387","J","COG1185","Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)","Translation, ribosomal structure and biogenesis"
"1388","J","COG0590","tRNA(Arg) A34 adenosine deaminase TadA","Translation, ribosomal structure and biogenesis"
"1389","J","COG0097","Ribosomal protein L6P/L9E","Translation, ribosomal structure and biogenesis"
"1390","J","COG1103","Archaeal Cys-tRNA synthase (O-phospho-L-seryl-tRNA:Cys-tRNA synthase)","Translation, ribosomal structure and biogenesis"
"1391","J","COG2428","Rps3 or RNA methylase involved in ribosome biogenesis, SPOUT family,","Translation, ribosomal structure and biogenesis"
"1392","J","COG3481","3'-5' exoribonuclease YhaM, can participate in 23S rRNA maturation,  HD superfamily","Translation, ribosomal structure and biogenesis"
"1393","J","COG0799","Ribosomal silencing factor RsfS, regulates association of 30S and 50S subunits","Translation, ribosomal structure and biogenesis"
"1394","J","COG3028","Ribosomal 50S subunit-associated protein YjgA (function unknown), DUF615 family","Translation, ribosomal structure and biogenesis"
"1395","J","COG0268","Ribosomal protein S20","Translation, ribosomal structure and biogenesis"
"1396","J","COG1813","Archaeal ribosome-binding protein aMBF1, putative translation factor, contains Zn-ribbon and HTH domains","Translation, ribosomal structure and biogenesis"
"1397","J","COG1617","tRNA threonylcarbamoyladenosine modification (KEOPS) complex,  Cgi121 subunit","Translation, ribosomal structure and biogenesis"
"1398","J","COG1746","tRNA nucleotidyltransferase (CCA-adding enzyme)","Translation, ribosomal structure and biogenesis"
"1399","J","COG2451","Ribosomal protein L35AE/L33A","Translation, ribosomal structure and biogenesis"
"1400","J","COG0724"," RNA recognition motif (RRM) domain","Translation, ribosomal structure and biogenesis"
"1401","J","COG2265","tRNA/tmRNA/rRNA uracil-C5-methylase, TrmA/RlmC/RlmD family","Translation, ribosomal structure and biogenesis"
"1402","J","COG0806","Ribosomal 30S subunit maturation factor RimM, required for 16S rRNA processing","Translation, ribosomal structure and biogenesis"
"1403","J","COG2904","NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, N-terminal domain","Translation, ribosomal structure and biogenesis"
"1404","J","COG0319","ssRNA-specific RNase YbeY, 16S rRNA maturation enzyme","Translation, ribosomal structure and biogenesis"
"1405","J","COG0199","Ribosomal protein S14","Translation, ribosomal structure and biogenesis"
"1406","J","COG0442","Prolyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"1407","J","COG2501","Ribosome-associated protein YbcJ, S4-like RNA binding protein","Translation, ribosomal structure and biogenesis"
"1408","J","COG1412","rRNA-processing protein FCF1","Translation, ribosomal structure and biogenesis"
"1409","J","COG0361","Translation initiation factor IF-1","Translation, ribosomal structure and biogenesis"
"1410","J","COG0052","Ribosomal protein S2","Translation, ribosomal structure and biogenesis"
"1411","J","COG0802","tRNA A37 threonylcarbamoyladenosine biosynthesis protein TsaE","Translation, ribosomal structure and biogenesis"
"1412","J","COG0081","Ribosomal protein L1","Translation, ribosomal structure and biogenesis"
"1413","J","COG0244","Ribosomal protein L10","Translation, ribosomal structure and biogenesis"
"1414","J","COG2511","Archaeal Glu-tRNAGln amidotransferase subunit E, contains GAD domain","Translation, ribosomal structure and biogenesis"
"1415","J","COG2157","Ribosomal protein L20A (L18A)","Translation, ribosomal structure and biogenesis"
"1416","J","COG1911","Ribosomal protein L30E","Translation, ribosomal structure and biogenesis"
"1417","J","COG4080","SpoU rRNA Methylase family enzyme","Translation, ribosomal structure and biogenesis"
"1418","J","COG1503","Peptide chain release factor 1 (eRF1)","Translation, ribosomal structure and biogenesis"
"1419","J","COG1258","tRNA U54 and U55 pseudouridine synthase Pus10","Translation, ribosomal structure and biogenesis"
"1420","J","COG0621","tRNA A37 methylthiotransferase MiaB","Translation, ribosomal structure and biogenesis"
"1421","J","COG1590","tRNA(Phe) wybutosine-synthesizing methylase Tyw3","Translation, ribosomal structure and biogenesis"
"1422","J","COG0292","Ribosomal protein L20","Translation, ribosomal structure and biogenesis"
"1423","J","COG0228","Ribosomal protein S16","Translation, ribosomal structure and biogenesis"
"1424","J","COG5117","Protein involved in the nuclear export of pre-ribosomes ","Translation, ribosomal structure and biogenesis"
"1425","J","COG1650","D-tyrosyl-tRNA(Tyr) deacylase","Translation, ribosomal structure and biogenesis"
"1426","J","COG1841","Ribosomal protein L30/L7E","Translation, ribosomal structure and biogenesis"
"1427","J","COG0752","Glycyl-tRNA synthetase, alpha subunit","Translation, ribosomal structure and biogenesis"
"1428","J","COG2007","Ribosomal protein S8E","Translation, ribosomal structure and biogenesis"
"1429","J","COG1514","2'-5' RNA ligase","Translation, ribosomal structure and biogenesis"
"1430","J","COG0018","Arginyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"1431","J","COG2051","Ribosomal protein S27E","Translation, ribosomal structure and biogenesis"
"1432","J","COG2606","Cys-tRNA(Pro) deacylase, prolyl-tRNA editing enzyme YbaK/EbsC","Translation, ribosomal structure and biogenesis"
"1433","J","COG0017","Aspartyl/asparaginyl-tRNA synthetase","Translation, ribosomal structure and biogenesis"
"1434","J","COG0223","Methionyl-tRNA formyltransferase","Translation, ribosomal structure and biogenesis"
"1435","J","COG0185","Ribosomal protein S19","Translation, ribosomal structure and biogenesis"
